transport_mode,origin_region,destination_region,route_distance_km,planned_duration_hours,elapsed_transit_hours,transit_progress_pct,priority_level,carrier_reliability_score,origin_port_congestion_index,dest_port_congestion_index,weather_severity_index,customs_inspection_risk,seasonal_disruption_factor,disrupted,split
Road,East_Asia,Europe,1004.2,27.9,8.2,0.2939,High,0.9451,29.2,62.6,4.1,0.5761,0.806,1,train
Road,East_Asia,East_Asia,885.7,19.0,13.4,0.7053,Standard,0.6186,14.1,24.4,47.0,0.0648,0.2885,1,train
Ocean,Southeast_Asia,Middle_East,10723.5,412.4,203.9,0.4944,Standard,0.8123,52.3,52.0,7.6,0.3936,0.8242,1,train
Ocean,East_Asia,North_America,12931.8,478.6,359.1,0.7503,Standard,0.5702,14.5,33.7,18.6,0.4192,0.3873,1,train
Air,East_Asia,Latin_America,5622.6,31.4,17.7,0.5637,Standard,0.759,39.4,13.4,23.6,0.4542,0.7053,1,train
Ocean,South_Asia,Latin_America,12426.1,481.2,378.4,0.7864,Urgent,0.9031,47.4,20.6,12.7,0.3846,0.7278,1,train
Road,East_Asia,East_Asia,1560.4,37.1,2.4,0.0647,High,0.6895,14.2,45.6,20.6,0.1439,0.2883,1,train
Ocean,South_Asia,Oceania,8921.6,348.1,79.5,0.2284,High,0.99,28.9,17.9,22.7,0.3789,0.7808,1,train
Rail,South_Asia,Europe,3184.7,91.0,6.7,0.0736,Standard,0.6351,28.8,64.6,24.6,0.4819,0.1238,1,train
Ocean,South_Asia,Middle_East,12920.1,452.2,51.9,0.1148,Standard,0.766,47.2,94.1,38.3,0.7576,0.9767,1,train
Road,Europe,Europe,1935.5,36.3,34.7,0.9559,Urgent,0.7181,10.7,8.4,24.5,0.11,0.2119,0,train
Air,East_Asia,Oceania,6311.5,27.9,13.5,0.4839,Standard,0.8139,52.2,50.6,22.2,0.2827,0.2618,1,train
Ocean,South_Asia,North_America,18636.9,657.3,286.9,0.4365,High,0.8283,12.5,42.7,10.0,0.05,0.7251,1,train
Ocean,Southeast_Asia,Middle_East,7927.1,317.0,78.7,0.2483,High,0.833,27.0,23.5,9.9,0.6343,0.7205,1,train
Road,East_Asia,East_Asia,882.4,16.9,16.2,0.9586,High,0.6719,48.4,35.9,46.5,0.0571,0.2303,1,train
Road,East_Asia,East_Asia,150.0,9.6,0.5,0.0521,Standard,0.9755,46.1,45.4,41.2,0.0811,0.258,1,train
Road,Europe,Europe,1458.9,29.0,23.8,0.8207,High,0.7967,67.1,33.8,57.3,0.157,0.0603,1,train
Road,Europe,Latin_America,818.1,18.5,17.8,0.9622,High,0.7638,17.9,14.9,44.3,0.2458,0.6531,1,train
Ocean,South_Asia,Europe,8552.8,314.6,50.6,0.1608,Standard,0.99,44.2,21.0,15.5,0.4014,0.6122,1,train
Road,East_Asia,Latin_America,187.1,14.3,1.3,0.0909,High,0.6432,30.1,75.8,12.6,0.2331,0.1536,1,train
Road,North_America,North_America,1518.6,34.2,22.2,0.6491,Urgent,0.7654,15.9,100.0,43.9,0.0887,0.5668,1,train
Air,North_America,Europe,7969.2,26.8,15.9,0.5933,Standard,0.9792,27.8,21.8,23.6,0.4088,0.8357,1,train
Rail,North_America,North_America,2569.6,94.1,58.5,0.6217,Urgent,0.9082,11.1,87.2,19.5,0.083,0.4432,1,train
Air,Europe,Middle_East,10425.3,28.8,19.0,0.6597,High,0.8831,18.3,17.8,40.9,0.495,0.804,1,train
Ocean,South_Asia,North_America,9737.3,370.5,192.5,0.5196,Urgent,0.8632,29.8,79.8,22.1,0.357,0.7915,1,train
Rail,Europe,Europe,3033.9,108.4,79.4,0.7325,Standard,0.8678,31.5,68.8,9.1,0.207,0.6946,1,train
Air,East_Asia,Oceania,7501.2,27.4,12.8,0.4672,Standard,0.9534,82.1,3.9,30.2,0.3839,0.3773,1,train
Rail,East_Asia,East_Asia,4299.5,126.9,71.5,0.5634,Standard,0.799,31.4,23.6,4.8,0.0277,0.7384,1,train
Road,North_America,North_America,1318.4,29.5,14.6,0.4949,High,0.6579,26.4,5.6,15.6,0.1576,0.5634,1,train
Ocean,Southeast_Asia,Oceania,8023.1,301.2,213.7,0.7095,Urgent,0.9704,82.7,64.9,34.4,0.218,0.4867,1,train
Rail,North_America,North_America,4550.9,132.7,17.1,0.1289,High,0.8959,22.1,17.1,29.6,0.0668,0.3229,1,train
Ocean,Southeast_Asia,North_America,9024.9,370.0,107.6,0.2908,Standard,0.7829,23.8,15.2,9.6,0.4162,0.7993,1,train
Ocean,South_Asia,Oceania,13121.6,447.8,273.7,0.6112,High,0.917,36.8,18.5,55.8,0.5047,0.5803,1,train
Ocean,South_Asia,Europe,9423.7,343.8,43.0,0.1251,Urgent,0.8887,52.4,54.7,10.0,0.6378,0.4883,1,train
Ocean,Europe,Middle_East,10015.7,376.5,324.7,0.8624,High,0.9357,45.1,31.1,11.5,0.4424,0.9102,1,train
Road,East_Asia,East_Asia,150.0,11.3,9.6,0.8496,Urgent,0.99,67.4,28.2,39.6,0.062,0.6792,1,train
Ocean,East_Asia,Oceania,11914.5,434.6,326.7,0.7517,Urgent,0.8257,25.1,20.5,10.0,0.6463,0.8464,1,train
Road,North_America,North_America,1218.5,31.8,23.9,0.7516,High,0.736,51.3,45.8,15.7,0.1825,0.6346,1,train
Air,South_Asia,Europe,8498.2,24.3,4.6,0.1893,Urgent,0.875,65.2,22.0,29.5,0.2789,0.3933,1,train
Ocean,Southeast_Asia,Middle_East,13129.3,478.4,39.1,0.0817,Standard,0.99,19.4,30.5,15.6,0.5948,0.5346,1,train
Ocean,East_Asia,Europe,7045.0,307.1,247.6,0.8063,High,0.6208,10.4,44.8,46.5,0.4802,0.9382,1,train
Rail,East_Asia,East_Asia,4905.9,135.3,13.2,0.0976,Standard,0.6938,26.6,100.0,20.0,0.0889,0.4593,1,train
Ocean,Southeast_Asia,Middle_East,10615.7,388.7,148.5,0.382,Standard,0.9748,13.3,6.5,12.5,0.397,0.2321,0,train
Air,Southeast_Asia,Europe,5362.0,21.6,20.2,0.9352,High,0.7865,24.6,18.3,19.0,0.1984,0.7196,1,train
Rail,North_America,North_America,3289.3,94.1,6.7,0.0712,Standard,0.896,11.7,70.5,31.4,0.1629,0.9146,1,train
Air,Latin_America,Europe,2439.7,15.3,5.4,0.3529,High,0.9772,18.4,48.8,41.8,0.3225,0.6106,1,train
Road,Latin_America,Latin_America,1324.4,33.1,3.4,0.1027,High,0.8156,64.9,46.8,3.1,0.1703,0.1954,1,train
Ocean,East_Asia,Latin_America,12507.2,470.4,116.1,0.2468,Urgent,0.99,18.5,22.2,39.3,0.7028,0.9708,1,train
Ocean,South_Asia,Middle_East,14641.3,500.8,195.4,0.3902,High,0.9416,29.8,16.2,33.0,0.3106,0.251,1,train
Ocean,Europe,Latin_America,10964.3,408.4,27.4,0.0671,High,0.7867,32.0,28.2,25.0,0.4086,0.9111,1,train
Ocean,Europe,North_America,7159.0,300.4,257.0,0.8555,Standard,0.6838,67.9,63.4,17.4,0.4307,0.4123,1,train
Road,Europe,Europe,1251.6,31.8,20.0,0.6289,High,0.7569,88.3,9.4,19.9,0.1672,0.4428,1,train
Rail,Europe,Europe,1777.8,48.9,44.0,0.8998,High,0.823,46.7,33.6,13.6,0.142,0.6938,1,train
Air,South_Asia,Europe,5682.9,43.6,2.8,0.0642,High,0.9189,17.3,40.9,11.0,0.5649,0.6329,1,train
Ocean,Europe,North_America,14113.6,505.2,232.2,0.4596,Standard,0.7376,9.8,34.6,22.5,0.3789,0.1888,1,train
Rail,South_Asia,South_Asia,5064.5,132.2,124.8,0.944,Standard,0.9043,33.5,66.4,12.4,0.207,0.3866,1,train
Air,South_Asia,Oceania,6830.1,29.6,26.9,0.9088,Urgent,0.7928,40.1,8.5,36.2,0.4493,0.6292,1,train
Air,Latin_America,North_America,6901.6,28.7,25.4,0.885,Standard,0.8129,40.2,79.1,22.7,0.8758,0.8648,1,train
Ocean,South_Asia,Middle_East,11779.1,450.4,273.9,0.6081,Standard,0.7694,30.6,45.5,24.2,0.7322,0.863,1,train
Rail,East_Asia,Europe,2596.5,68.1,24.8,0.3642,Urgent,0.8845,21.4,50.5,22.9,0.4814,0.5736,1,train
Air,Southeast_Asia,Europe,7492.2,25.8,23.6,0.9147,Standard,0.6707,37.8,62.5,31.8,0.5747,0.9305,1,train
Air,Europe,North_America,5963.6,43.2,18.4,0.4259,Standard,0.9475,38.9,18.7,48.5,0.4276,0.5608,1,train
Rail,Europe,Europe,3304.9,91.8,42.2,0.4597,High,0.7607,43.0,28.4,50.9,0.1989,0.3446,1,train
Road,North_America,North_America,1352.7,25.4,9.7,0.3819,Standard,0.9569,35.0,40.8,75.0,0.0723,0.8632,1,train
Road,Latin_America,Europe,1218.3,31.3,11.7,0.3738,Standard,0.9135,35.1,25.6,10.5,0.6388,0.3915,1,train
Air,Southeast_Asia,Middle_East,5010.3,40.4,37.9,0.9381,High,0.9643,26.4,20.0,33.0,0.4261,0.9726,1,train
Ocean,South_Asia,Latin_America,8787.8,364.5,94.8,0.2601,Standard,0.99,36.3,40.1,14.1,0.439,0.2008,1,train
Road,North_America,North_America,1504.1,35.6,17.7,0.4972,Standard,0.7518,41.5,43.0,54.1,0.1293,0.7349,1,train
Ocean,South_Asia,Europe,11927.9,445.1,224.3,0.5039,Standard,0.7036,43.8,42.1,24.1,0.4758,0.8225,1,train
Road,Latin_America,Latin_America,955.2,21.3,12.5,0.5869,Standard,0.8976,31.3,43.4,19.0,0.1552,0.0871,1,train
Air,Southeast_Asia,Oceania,4453.6,26.1,4.8,0.1839,Standard,0.979,54.1,61.8,46.0,0.3164,0.8085,1,train
Road,North_America,North_America,1509.0,36.8,27.6,0.75,High,0.8835,29.6,56.3,19.3,0.0471,0.2265,1,train
Ocean,Southeast_Asia,Latin_America,11897.5,441.2,305.4,0.6922,Standard,0.8082,38.7,31.7,42.4,0.05,0.9489,1,train
Road,Latin_America,Latin_America,1399.8,27.9,19.8,0.7097,High,0.7919,37.8,17.3,14.6,0.2175,0.7196,1,train
Ocean,South_Asia,Middle_East,16060.7,557.9,349.7,0.6268,Standard,0.9526,44.4,25.8,19.7,0.7516,0.9531,1,train
Rail,South_Asia,North_America,2996.3,79.3,60.8,0.7667,Standard,0.99,29.7,52.0,14.9,0.05,0.5841,1,train
Air,East_Asia,Oceania,13054.5,49.6,28.4,0.5726,Standard,0.8489,23.7,34.8,17.0,0.3758,0.9355,1,train
Air,East_Asia,Europe,4356.6,38.0,23.5,0.6184,Standard,0.99,28.9,46.6,21.6,0.2136,0.9448,1,train
Rail,Europe,Europe,4437.2,110.8,25.5,0.2301,High,0.6815,35.3,48.3,41.2,0.0208,0.8258,1,train
Ocean,East_Asia,North_America,12529.1,434.1,77.0,0.1774,Urgent,0.9083,63.9,58.6,16.7,0.3152,0.1667,1,train
Road,East_Asia,Europe,921.6,23.4,2.4,0.1026,Standard,0.99,12.2,46.1,7.4,0.5731,0.6454,0,train
Road,North_America,North_America,1562.2,28.0,23.9,0.8536,High,0.8675,44.3,63.0,4.8,0.1699,0.277,1,train
Air,South_Asia,Oceania,7303.0,39.8,34.1,0.8568,High,0.9313,70.2,28.1,32.2,0.083,0.5851,1,train
Road,East_Asia,Europe,803.4,19.6,10.4,0.5306,Standard,0.6976,28.1,20.8,9.7,0.3163,0.3355,1,train
Rail,East_Asia,East_Asia,2754.3,101.0,22.7,0.2248,Standard,0.862,29.8,50.6,8.8,0.1922,0.707,1,train
Road,East_Asia,East_Asia,1283.0,31.7,22.6,0.7129,Urgent,0.8736,12.3,18.0,34.6,0.15,0.9779,1,train
Air,South_Asia,East_Asia,7193.6,44.6,37.3,0.8363,Standard,0.7914,21.5,53.2,47.0,0.5274,0.9732,1,train
Ocean,South_Asia,Middle_East,9477.6,371.6,143.3,0.3856,Urgent,0.6973,33.7,38.7,27.8,0.6027,0.9297,1,train
Ocean,South_Asia,Europe,12295.0,467.6,243.7,0.5212,High,0.8605,36.1,52.8,29.6,0.3934,0.5255,1,train
Air,Southeast_Asia,Oceania,2586.1,19.8,5.8,0.2929,Standard,0.8841,18.4,9.4,55.1,0.5708,0.8538,1,train
Ocean,East_Asia,North_America,10949.1,385.5,156.0,0.4047,Standard,0.9074,35.7,10.9,30.7,0.3381,0.3656,1,train
Ocean,South_Asia,Latin_America,9396.9,350.2,181.6,0.5186,High,0.8377,64.1,24.0,6.9,0.7104,0.5893,1,train
Air,Latin_America,Middle_East,10034.5,45.2,7.2,0.1593,Standard,0.8245,77.6,24.5,13.6,0.3725,0.9686,1,train
Air,Latin_America,East_Asia,9096.7,32.0,29.8,0.9313,High,0.6499,36.5,26.7,36.8,0.4086,0.552,1,train
Air,Southeast_Asia,Europe,6164.6,42.9,33.8,0.7879,Standard,0.8084,23.3,41.1,53.0,0.3188,0.8233,1,train
Ocean,Europe,North_America,3500.0,178.8,31.2,0.1745,Standard,0.7298,19.5,100.0,8.8,0.472,0.6765,1,train
Air,Middle_East,Europe,5232.3,20.4,4.4,0.2157,Urgent,0.8725,16.4,60.5,60.8,0.1746,0.9509,1,train
Road,East_Asia,East_Asia,907.0,21.6,19.8,0.9167,Standard,0.7697,26.8,32.6,46.7,0.0911,0.2878,1,train
Rail,South_Asia,South_Asia,1249.5,52.6,20.1,0.3821,Standard,0.6587,80.2,71.4,40.9,0.1207,0.8818,1,train
Road,Europe,Europe,1023.7,25.8,24.8,0.9612,Standard,0.9235,82.6,26.2,20.0,0.1172,0.8967,1,train
Ocean,South_Asia,Latin_America,10569.8,370.3,360.7,0.9741,Standard,0.8455,17.1,23.0,22.3,0.5104,0.7009,1,train
Road,East_Asia,Europe,2148.9,45.6,31.6,0.693,Standard,0.7543,48.2,25.8,23.3,0.3719,0.42,1,train
Road,Europe,Latin_America,915.9,24.0,6.0,0.25,Urgent,0.6211,57.8,44.3,24.1,0.267,0.3888,1,train
Ocean,East_Asia,North_America,10547.6,394.8,182.0,0.461,Standard,0.99,31.7,50.3,22.2,0.5723,0.2464,1,train
Air,North_America,East_Asia,4906.5,25.3,7.7,0.3043,Standard,0.9687,39.0,36.2,11.1,0.2872,0.7268,1,train
Ocean,Europe,Oceania,14910.6,542.7,183.7,0.3385,Standard,0.9384,34.4,9.1,4.2,0.5046,0.3881,1,train
Air,Southeast_Asia,North_America,6832.3,29.7,23.1,0.7778,High,0.7719,26.3,28.3,46.8,0.0524,0.5115,1,train
Ocean,Southeast_Asia,Europe,11971.9,453.6,434.7,0.9583,Standard,0.985,23.8,19.0,29.4,0.6456,0.6986,1,train
Rail,North_America,Europe,3000.7,103.3,61.3,0.5934,Standard,0.99,45.2,22.3,38.3,0.5878,0.3104,1,train
Road,Europe,Europe,1440.8,25.6,7.9,0.3086,Urgent,0.8359,47.9,100.0,32.1,0.0929,0.7342,1,train
Road,Latin_America,Latin_America,932.4,25.9,14.1,0.5444,Standard,0.693,4.9,87.2,25.7,0.1491,0.7309,1,train
Air,Middle_East,Oceania,9715.9,35.3,32.4,0.9178,High,0.9373,45.4,34.2,40.2,0.443,0.4605,1,train
Air,North_America,Europe,9644.3,41.0,18.7,0.4561,Standard,0.8557,18.1,41.8,23.7,0.2548,0.2465,1,train
Road,Latin_America,Europe,933.9,27.0,15.1,0.5593,Standard,0.7562,25.8,25.6,31.8,0.3474,0.0512,1,train
Road,Latin_America,Latin_America,1497.7,30.4,3.2,0.1053,Standard,0.8838,36.3,54.1,7.4,0.02,0.925,1,train
Road,Europe,Europe,594.8,18.8,17.7,0.9415,Standard,0.7273,13.5,39.6,31.4,0.1504,0.0868,1,train
